"Supplementary Table S3: Metabolomics processing notes per dataset","...2","...3","...4","...5","...6","...7","...8","...9"
NA,NA,NA,NA,NA,NA,NA,NA,NA
"(1) Note: This is not related to how metabolites were identified and annotated in original publications, just an explanation of which data was available for the purpose of constructing this resource;",NA,NA,NA,NA,NA,NA,NA,NA
"(2) Relevant for untargeted methods only;",NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
"NMR, nuclear magnetic resonance; MS, mass spectrometry; GC, gas chromatography; LC, liquid chromatography; TOF, time-of-flight; CE, capillary electrophoresis;",NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dataset ID","Targeted / untargeted","Method","MS details","Data availability",NA,"Mapping to HMDB","Number of HMDB-identified metabolites (unique)","Description of the metabolite identifiers used in the ""mtb"" tables in this resource"
NA,NA,NA,"Notes regarding metabolite identification and confidence, as reported by authors in the original publication (2)","Description of metabolite data made available by authors (1)","Number of metabolites in obtained data",NA,NA,NA
"YACHIDA_CRC_2019","Targeted","CE-TOF-MS - both positive and negative modes","-","Metabolites were identified by name and most also had KEGG ID's.","450","MetaboAnalyst","407","Original metabolite identifiers were unchanged."
"FRANZOSA_IBD_2019","Untargeted","Four complimentary LC-MS methods: (1) Positive ion mode LC-MS analyses of polar metabolites, (2) Negative ion mode LC–MS analyses of polar metabolites, (3) Negative ion mode LC–MS analyses of metabolites of intermediate polarity, (4) Polar and non-polar lipids.","A subset of 466 metabolites were identified more precisely using reference data generated from an in-house compound library; 3,829 metabolite features were linked to putative identifiers based on accurate m/z matching against the HMDB.","Metabolites in the published data were identified by m/z, retention time, and for metabolites with exact matches to standard - names and adduct as well, for each of the four LC-MS modes. A ""*"" in metabolite name indicated identification to isomer family (we marked these with ""High.Confidence=FALSE"").","8848","MetaboAnalyst + manual mapping for additional metabolites (validation by name + mass)","199","Metabolite names (if annotated in original data) were concatenated to the original identifiers. ""HILIC-neg_Cluster_0079"", for example, was converted to ""HILIC-neg_Cluster_0079: 4-hydroxybenzaldehyde"". If no metabolite name was available, ""NA"" was concateneated instead."
"SINHA_CRC_2016","Untargeted","HPLC-MS/MS","Performed by Metabolon. Individual molecules and their relative levels were identified from the mass spectral peaks compared to a chemical reference library generated from 2,500 standards, based on mass spectral peaks, retention times, and mass-to-charge ratios.","Annotated metabolites were identified by name only. Note: metabolite values are standardized (centered around 0).","530","MetaboAnalyst + manual mapping for additional metabolites","352","Original metabolite identifiers were unchanged."
"HE_INFANTS_MFGM","Targeted","NMR","-","Metabolites in the data sent by authors were identified by name only.","120","MetaboAnalyst + manual mapping for additional metabolites","118","Original metabolite identifiers were unchanged."
"iHMP_IBDMDB_2019","Untargeted","Four complimentary LC-MS methods: (1) Positive ion mode LC-MS analyses of polar metabolites, (2) Negative ion mode LC–MS analyses of polar metabolites, (3) Negative ion mode LC–MS analyses of metabolites of intermediate polarity, (4) Polar and non-polar lipids.","Identification of nontargeted metabolite LC–MS peaks was conducted by: i) matching measured retention times and masses to mixtures of reference metabolites analysed in each batch; and ii) matching an internal database of >600 compounds that have been characterized using the Broad Institute methods.","Metabolites in the published data were identified by m/z, retention time, and for annotated metabolites - HMDB ID's and names as well, for each of the four LC-MS modes. Some HMDBs were marked as ""representative ID's"" (lower confidence in annotation).","81867","Provided by authors","455","Metabolite names (if annotated in original data) were concatenated to the original identifiers. ""C18n_QI08"" for example was converted to ""C18n_QI08__caproate"". If no metabolite name was available, ""NA"" was concateneated instead."
"JACOBS_IBD_RELATIVES_2016","Untargeted","UPLC-MS - both positive (ESI+) and negative (ESI-) electrospray ionization modes","The MS data were processed using MassLynx software (Waters Corp) to get the retention time, m/z, and intensity for each ion. 3206 ions were detected in the positive mode and 1420 ions in the negative mode. Authors' in-house program was used to putatively identify ions, using HMDB, LipidMaps, KEGG, and BioCyc. The m/z values were used to putatively assign IDs to the ions by neutral mass elucidation, which was accomplished by considering the possible adducts (H+, Na+, and/or NH4+ in the ESI+ mode; and H- and Cl- in the ESI- mode). The masses then were compared with the exact mass of small molecules in the databases, from which putative metabolites were identified with a mass error of 20 ppm or less. MS/MS validation was performed by comparing the fragmentation pattern of each metabolite and lipid of interest against either that of its pure chemical form or its published MS/MS spectra in Metlin or our in-house database. Validation was performed for 123 spectral features, of which 37 were validated successfully.","Metabolites in the published data were identified by m/z and retention time, in either positive or negative ionization mode. A subset was validated against reference standards and annotated by name. We only mapped this subset to HMDB and KEGG.","4626","MetaboAnalyst + manual mapping for additional metabolites (validation by name + mass)","36","A ""Positive"" or ""Negative"" prefix was added to metabolite identifiers to indicate whether the metabolite record originated in the positive (ESI + ) or negative (ESI - ) electrospray ionization mode."
"POYET_BIO_ML_2019","Untargeted","Four complimentary LC-MS methods: Two hydrophilic interaction liquid chromatography (HILIC) methods were used for the analysis of water soluble polar metabolites in positive (HILIC-pos) or negative (HILIC-neg) ion mode, and two reverse-phase chromatography methods for measuring lipids in positive ionization mode (C8-pos) or metabolites of intermediate polarity using a C18 column in negative ionization mode (C18-neg).","Raw data were processed using TraceFinder 3.1 software (Thermo Fisher Scientific; Waltham, MA) and Progenesis QI (Nonlinear Dynamics; Newcastle upon Tyne, UK). Metabolite identities were confirmed using authentic reference standards or reference samples.","A text file per LC-MS method was available at Metabolomics Workbench Project ID PR000804. In each file, only metabolite names are provided. Further information per metabolite is available in Metabolomics Workbench.","489","MetaboAnalyst + manual mapping for additional metabolites","255","A prefix was concatenated to each metabolite to indicate from which method it originated: ""HILIC_NEG"", ""HILIC_POS"", ""REV_NEG"" (reverse-phase chromatography in negative ionization mode), or ""REV_POS""  (reverse-phase chromatography in positive ionization mode)."
"ERAWIJANTARI_GASTRIC_CANCER_2020","Targeted","CE-TOF-MS - both positive and negative modes","-","Metabolites were identified by name and most also had KEGG ID's.","524","MetaboAnalyst","462","Original metabolite identifiers were unchanged."
