iri	label	type	parentlabel	category	definition	min	max	average	median	upper_quartile	lower_quartile	number_distinct_values	distinct_values	variable	replaces
GAZ_00000448	Geographic location		Community	Participant											
EUPATH_0010981	Demographics		Participant	Participant											
ENVO_00000009	Country	string	Geographic location	Participant								1	["United States of America"]	["EcoCF.txt::country","FARMM_metagenomics.txt::country","AnophelesAlbimanus.txt::country","Ciara_V1V3.txt::country","UgandaMaternal.txt::country","EMP_2192_Gilbert_House.txt::country","EMP_10249_ECAM.txt::geo_loc_name","EMP_1064_Bee_Microbiome.txt::country","PIH_Uganda.txt::country","HMPWgs.txt::country","MALED_healthy.txt::country","NICUNEC.txt::country","EMP_1928_HMP_V35.txt::geo_loc_name","GEMS.txt::country","ENTiCE.txt::country","CAMP.txt::country","EMP_797_Song_Family.txt::country","Resistome.txt::country","StLouisNICU.txt::country","Malaysia_Helminth.txt::country","EMP_1927_HMP_V13.txt::geo_loc_name","DiabImmune.txt::country","MALED_diarrhea.txt::country","Bangladesh_healthy_5yr.txt::country","DailyBaby.txt::country","MORDOR_metatranscriptome.txt::country"]	ENVO_00000004
PATO_0000047	Sex	string	Demographics	Participant	physical sex of the host							2	["Female","Male"]	["Malaysia_Helminth.txt::sex","UgandaMaternal.txt::Sex","EMP_1064_Bee_Microbiome.txt::sex","PIH_Uganda.txt::sex","Ciara_V4.txt::host_sex","HMPWgs.txt::Sex","EMP_797_Song_Family.txt::sex","EMP_2192_Gilbert_House.txt::sex","EMP_10249_ECAM.txt::sex","DailyBaby.txt::sex","NICUNEC.txt::sex","NICUDischarge.txt::gender","StLouisNICU.txt::Sex","BONUS.txt::sex","MORDOR_metatranscriptome.txt::Sex","CAMP.txt::host_sex","ENTiCE.txt::host_sex","EcoCF.txt::Sex","Resistome.txt::Sex","Bangladesh_healthy_5yr.txt::Sex","DiabImmune.txt::gender"]	
OBI_0001169	Age	integer	Demographics	Participant	age of host at the time of sampling; relevant scale depends on species and study, e.g. could be seconds for amoebae or centuries for trees. The unit of age is year.,the animal's or human's age counted in days	18	39	26.5339805825243	26	28.5	23	21		["EMP_10249_ECAM.txt::Age (months)","MORDOR_metatranscriptome.txt::Age","EcoCF.txt::Age (years)","Malaysia_Helminth.txt::age","Bangladesh_healthy_5yr.txt::Age (months)","FARMM_metagenomics.txt::host_age","EMP_10249_ECAM.txt::age","Resistome.txt::Age at sample collection (days)","GEMS.txt::Age (months)","HMPWgs.txt::Age (years)","StLouisNICU.txt::Age at sample collection (days)","EMP_10249_ECAM.txt::day_of_life","EMP_1064_Bee_Microbiome.txt::host_age","EcoCF.txt::Age (days)","MALED_diarrhea.txt::age in months","DiabImmune.txt::age_at_collection_months","UgandaMaternal.txt::Age (years)","MALED_healthy.txt::Age (months)","DailyBaby.txt::day_of_life","CAMP.txt::age","PIH_Uganda.txt::age_at_collection_months","NICUDischarge.txt::day_of_life","BONUS.txt::age_at_collection_months","NICUNEC.txt::Age at sample collection (days)","EMP_797_Song_Family.txt::host_age"]	EUPATH_0000579
EUPATH_0009247	4th level EC metagenome abundance data		Metagenome pathway and function analysis	Metagenomic sequencing assay	A data item that is the output of a metagenome pathway and function analysis for the number of copies of genes annotated at the finest (4th level) EC classification.										
EUPATH_0009248	Metagenome enzyme pathway abundance data		Metagenome pathway and function analysis	Metagenomic sequencing assay	A data item that is the output of a metagenome pathway and function analysis for the number of copies of a pathway defined by EC classifications.										
EUPATH_0009249	Metagenome enzyme pathway coverage data		Metagenome pathway and function analysis	Metagenomic sequencing assay	A data item that is the output of a metagenome pathway and function analysis for gene coverage in a pathway defined by EC classifications.										
EUPATH_0009246	Metagenome pathway and function analysis		Data analysis	Metagenomic sequencing assay	A data transformation of metagenome input sequence data involving mapping to genes with full Enzyme Commision (EC) number enzyme classifications and calculation of pathways.										
EUPATH_0009251	Kingdom		Relative taxonomic abundance analysis	Metagenomic sequencing assay	A data item that is the output of a relative taxonomic abundance analysis for organisms grouped at the level of kingdom.										
