OTU_ID,GUA01,GUA02,GUA03,GUA04,GUA05,GUA06,GUA07,GUA08,GUA09,GUA10,GUA11,GUA12,GUA13,GUA14,GUA15,GUA16,GUA17,GUA18,GUA19,GUA20,GUA21,GUA22,GUA23,GUA24,GUA25,GUA26,GUA27,GUA28,GUA29,GUA30,GUA31,GUA32,GUA33,GUA34,GUA35,GUA36,GUA37,GUA38,GUA39,GUA40,GUA41,GUA42,GUA43,GUA44,GUA45,GUA46,GUA47,GUA48,GUA49,GUA50,GUA51,GUA52,GUA53,GUA54,GUA55,GUA56,GUA57,GUA58,GUA59,GUA60,GUA61,GUA62,GUA63,GUA64,GUA65,GUA66,GUA67,GUA68,GUA69,GUA70,GUA71,GUA72,GUA73,GUA74,GUA80,GUA81,GUA82
OTU_1,0,6,14,33,0,0,0,0,0,12,4,4,0,0,0,0,0,0,0,0,0,0,7,1,0,0,2,10,4,0,4,47,0,0,0,2,0,0,1,0,0,8,6,5,0,3,4,21,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,16,0,6,0,0,0,10,0,0,35,0,16,0
OTU_2,8,0,0,10,32,0,0,0,18,10,4,12,8,0,0,0,0,0,0,0,7,5,0,0,5,0,0,11,48,0,9,6,1,0,0,86,6,0,0,2,0,15,16,2,0,0,13,0,0,0,0,4,1,0,2,11,0,0,0,0,0,0,0,27,1,8,0,0,0,0,12,0,0,10,0,0,9
OTU_3,0,11,0,0,0,16,0,0,19,11,16,0,0,0,0,0,6,0,0,0,0,0,0,112,0,3,2,0,5,0,11,0,3,1,0,0,0,0,0,10,0,0,0,0,10,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,4,0,7,0,3,0,3,0,7
OTU_4,63,13,0,0,0,17,0,6,12,0,0,0,0,3,0,0,2,0,61,0,0,0,0,3,0,16,0,6,0,2,0,0,37,1,4,0,31,0,0,7,2,11,9,0,7,0,0,14,36,0,62,0,0,13,9,3,6,0,0,17,10,3,18,10,16,0,0,4,15,0,0,0,0,4,0,0,0
OTU_5,16,0,27,0,0,0,10,0,0,0,3,0,0,0,23,16,0,13,0,0,7,0,0,6,0,0,11,0,0,0,0,0,0,0,1,0,3,0,10,32,0,0,0,0,7,0,0,0,0,34,0,0,0,0,0,7,8,3,0,12,0,0,0,3,0,0,66,3,3,0,0,4,0,0,0,48,0
OTU_6,0,0,0,0,0,4,1,28,0,0,1,0,7,7,0,0,2,0,8,12,15,2,1,26,0,3,0,0,24,7,0,0,0,0,0,0,2,0,0,1,2,0,0,15,0,7,0,0,1,0,0,7,0,0,0,14,0,2,4,0,0,0,2,0,4,0,0,0,0,2,0,0,0,0,6,5,0
OTU_7,4,0,5,0,1,0,0,0,13,10,0,22,6,0,1,0,0,1,3,0,39,17,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,3,9,0,5,2,0,15,0,2,0,15,0,0,3,0,3,0,1,0,0,2,0,0,0,0,3,7,0,0,0,4,0,0,0,31,0
OTU_8,0,0,0,0,0,0,23,9,0,0,0,0,10,4,0,0,0,0,24,0,0,0,1,5,0,0,10,0,16,0,9,0,0,0,0,4,13,71,0,9,0,0,0,0,7,4,0,0,0,0,0,2,4,0,15,2,0,0,0,48,3,2,1,32,14,6,0,2,85,8,8,15,0,0,0,0,0
OTU_9,36,0,0,6,0,0,0,0,0,4,2,0,0,7,0,0,0,0,5,1,0,0,0,6,0,0,46,0,0,2,0,0,0,7,9,6,0,4,0,4,0,8,0,33,0,0,25,0,5,5,0,0,2,42,18,26,0,0,0,0,0,15,0,0,15,0,0,0,2,13,0,0,0,0,0,0,0
OTU_10,0,0,1,0,2,42,0,0,0,0,0,0,7,0,8,8,0,0,10,0,1,0,8,6,0,10,0,0,8,2,0,1,0,0,0,19,0,0,1,0,0,7,0,0,8,3,4,0,2,1,0,0,0,0,12,8,0,0,4,0,0,6,23,0,7,0,0,0,14,4,0,0,13,1,0,0,6
